,,,,Feb'26,,,Jan'26,,
product_id,Lender,Program,Policy,lead_count,Loan amount,ATS,lead_count,Loan amount,ATS
88,SMFG,Topup,,"23,231","7,84,79,14,000","3,37,821","26,067","8,70,79,61,000","3,34,061"
85,SMFG,FR,,"23,145","3,81,36,57,000","1,64,772","22,995","4,01,42,35,000","1,74,570"
291,KSF,FR,,"13,015","1,31,06,14,000","1,00,700","13,413","1,25,71,25,000","93,724"
253,PAYU,FR,,"6,975","1,28,78,71,000","1,84,641","7,148","1,29,61,50,000","1,81,330"
106,PAYU,FR,,"7,317","95,10,75,000","1,29,982","8,165","1,00,51,38,000","1,23,103"
221,NACL,FR,,"3,928","79,48,99,000","2,02,367","3,389","72,69,27,000","2,14,496"
87,Piramal,FR,,"4,970","69,52,65,000","1,39,892","6,917","1,00,18,54,000","1,44,839"
509,SMFG,FR,Bureau,"7,966","65,58,53,000","82,332",921,"8,55,66,000","92,906"
90,Piramal,Topup,,"1,781","45,27,25,000","2,54,197","1,958","50,43,38,000","2,57,578"
124,MFL,FR,,"3,446","43,33,36,000","1,25,750","5,545","82,40,16,000","1,48,605"
503,NACL,Topup,,"1,637","39,56,33,000","2,41,682","1,582","38,26,82,000","2,41,898"
324,MFL,Topup,,"1,940","39,55,30,000","2,03,881","1,798","35,19,56,000","1,95,749"
508,Piramal,BT,,519,"14,94,97,000","2,88,048",664,"20,64,54,000","3,10,925"
311,Piramal,FR,Banking,"1,418","12,34,54,000","87,062",277,"3,17,41,000","1,14,588"
316,TCL,FR,,312,"6,81,30,000","2,18,365",441,"10,87,69,000","2,46,642"
89,SMFG,AD,,467,"6,78,77,000","1,45,347",303,"3,27,59,000","1,08,116"
515,KSF,Topup,,348,"4,89,51,000","1,40,664",NA,NA,NA
