lender,month_start,product_type,isautoleadcreated,major_index,original_major_stage,sub_stage,Leads,Stuck%
FULLERTON,1.MTD,Fresh,Flow1(Auto),2,Workable leads,,116352,
FULLERTON,1.MTD,Fresh,Flow2(Manual),2,Workable leads,,34357,
KSF,1.MTD,Fresh,Flow1(Auto),2,Workable leads,,56958,
KSF,1.MTD,Fresh,Flow2(Manual),2,Workable leads,,15794,
MFL,1.MTD,Fresh,Flow1(Auto),2,Workable leads,,11101,
MFL,1.MTD,Fresh,Flow2(Manual),2,Workable leads,,2211,
NACL,1.MTD,Fresh,Flow1(Auto),2,Workable leads,,15385,
NACL,1.MTD,Fresh,Flow2(Manual),2,Workable leads,,3577,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),2,Workable leads,,111717,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),2,Workable leads,,17871,
PYFL,1.MTD,Fresh,Flow1(Auto),2,Workable leads,,24935,
PYFL,1.MTD,Fresh,Flow2(Manual),2,Workable leads,,7308,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),2,Workable leads,,36216,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),2,Workable leads,,7267,
FULLERTON,1.MTD,Fresh,Flow1(Auto),3,Bureau pull success,,111927,
FULLERTON,1.MTD,Fresh,Flow2(Manual),3,Bureau pull success,,32254,
KSF,1.MTD,Fresh,Flow1(Auto),3,Bureau pull success,,54792,
KSF,1.MTD,Fresh,Flow2(Manual),3,Bureau pull success,,14827,
MFL,1.MTD,Fresh,Flow1(Auto),3,Bureau pull success,,10679,
MFL,1.MTD,Fresh,Flow2(Manual),3,Bureau pull success,,2075,
NACL,1.MTD,Fresh,Flow1(Auto),3,Bureau pull success,,14800,
NACL,1.MTD,Fresh,Flow2(Manual),3,Bureau pull success,,3358,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),3,Bureau pull success,,107470,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),3,Bureau pull success,,16776,
PYFL,1.MTD,Fresh,Flow1(Auto),3,Bureau pull success,,23987,
PYFL,1.MTD,Fresh,Flow2(Manual),3,Bureau pull success,,6860,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),3,Bureau pull success,,34839,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),3,Bureau pull success,,6822,
FULLERTON,1.MTD,Fresh,Flow1(Auto),4,BRE1 completed,,69495,
FULLERTON,1.MTD,Fresh,Flow2(Manual),4,BRE1 completed,,18165,
KSF,1.MTD,Fresh,Flow1(Auto),4,BRE1 completed,,34020,
KSF,1.MTD,Fresh,Flow2(Manual),4,BRE1 completed,,8350,
MFL,1.MTD,Fresh,Flow1(Auto),4,BRE1 completed,,6630,
MFL,1.MTD,Fresh,Flow2(Manual),4,BRE1 completed,,1169,
NACL,1.MTD,Fresh,Flow1(Auto),4,BRE1 completed,,9189,
NACL,1.MTD,Fresh,Flow2(Manual),4,BRE1 completed,,1891,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),4,BRE1 completed,,66728,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),4,BRE1 completed,,9448,
PYFL,1.MTD,Fresh,Flow1(Auto),4,BRE1 completed,,14894,
PYFL,1.MTD,Fresh,Flow2(Manual),4,BRE1 completed,,3864,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),4,BRE1 completed,,21632,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),4,BRE1 completed,,3842,
FULLERTON,1.MTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,23915,
FULLERTON,1.MTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,13526,
KSF,1.MTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,11707,
KSF,1.MTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,6217,
MFL,1.MTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,2282,
MFL,1.MTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,870,
NACL,1.MTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,3162,
NACL,1.MTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,1408,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,22963,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,7035,
PYFL,1.MTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,5125,
PYFL,1.MTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,2877,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,7444,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,2861,
FULLERTON,1.MTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,21917,
FULLERTON,1.MTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,14377,
KSF,1.MTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,10729,
KSF,1.MTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,6609,
