product_type,isautoleadcreated,lender,#Child_Leads_Created,#Disbursed,Disbursal %,Amt_Cr,#Disbursed_LMSD,Amt_Cr_LMSD
Fresh,Flow1(Auto),SMFG,175000,43733,25.0,982.59,37558,960.59
Fresh,Flow1(Auto),KSF,41124,10281,25.0,95.64,10746,101.01
Fresh,Flow1(Auto),PIRAMAL,27492,6873,25.0,112.11,7567,132.94
Fresh,Flow1(Auto),SRIRAM,24108,6027,25.0,77.94,6945,83.27
Fresh,Flow1(Auto),PAYU,22284,5571,25.0,103.31,5372,96.51
Fresh,Flow1(Auto),NACL,18144,4536,25.0,94.29,3678,82.21
Fresh,Flow1(Auto),MFL,13340,3335,25.0,50.82,5878,94.16
Fresh,Flow1(Auto),UCL,11224,2806,25.0,6.63,83,0.19
Fresh,Flow1(Auto),TCL,956,239,25.0,4.84,301,7.20
Fresh,Flow1(Auto),PROFECTUS,0,0,0,0.00,48,0.95
