lender,product_type,isautoleadcreated,major_index,major_stage,Leads,Conv. %
FULLERTON,Fresh,Flow1(Auto),6,Child_Lead_Created,21917,
FULLERTON,Fresh,Flow1(Auto),7,Selfie uploaded,18024,82.24
FULLERTON,Fresh,Flow1(Auto),8,KYC completed,14975,83.08
FULLERTON,Fresh,Flow1(Auto),9,BRE2 completed,11108,74.18
FULLERTON,Fresh,Flow1(Auto),10,Disbursal acc verified,10984,98.88
FULLERTON,Fresh,Flow1(Auto),11,Review submit,10119,92.12
FULLERTON,Fresh,Flow1(Auto),12,Mandate done,9235,91.26
FULLERTON,Fresh,Flow1(Auto),13,Application submitted by user,9215,99.78
FULLERTON,Fresh,Flow1(Auto),14,Submit to LMS,7004,76.01
FULLERTON,Fresh,Flow1(Auto),15,Disbursed,6718,95.92
FULLERTON,Fresh,Flow2(Manual),6,Child_Lead_Created,14377,
FULLERTON,Fresh,Flow2(Manual),7,Selfie uploaded,12539,87.22
FULLERTON,Fresh,Flow2(Manual),8,KYC completed,10540,84.06
FULLERTON,Fresh,Flow2(Manual),9,BRE2 completed,8858,84.04
FULLERTON,Fresh,Flow2(Manual),10,Disbursal acc verified,8705,98.27
FULLERTON,Fresh,Flow2(Manual),11,Review submit,8140,93.51
FULLERTON,Fresh,Flow2(Manual),12,Mandate done,7229,88.81
FULLERTON,Fresh,Flow2(Manual),13,Application submitted by user,7216,99.82
FULLERTON,Fresh,Flow2(Manual),14,Submit to LMS,6268,86.86
FULLERTON,Fresh,Flow2(Manual),15,Disbursed,6058,96.65
KSF,Fresh,Flow1(Auto),6,Child_Lead_Created,10729,
KSF,Fresh,Flow1(Auto),7,Selfie uploaded,9594,89.42
KSF,Fresh,Flow1(Auto),8,KYC completed,6281,65.47
KSF,Fresh,Flow1(Auto),9,BRE2 completed,4487,71.44
KSF,Fresh,Flow1(Auto),10,Disbursal acc verified,4345,96.84
KSF,Fresh,Flow1(Auto),11,Review submit,4083,93.97
KSF,Fresh,Flow1(Auto),12,Mandate done,3661,89.66
KSF,Fresh,Flow1(Auto),13,Application submitted by user,3635,99.29
KSF,Fresh,Flow1(Auto),14,Submit to LMS,2853,78.49
KSF,Fresh,Flow1(Auto),15,Disbursed,2728,95.62
KSF,Fresh,Flow2(Manual),6,Child_Lead_Created,6609,
KSF,Fresh,Flow2(Manual),7,Selfie uploaded,5985,90.56
KSF,Fresh,Flow2(Manual),8,KYC completed,4149,69.32
KSF,Fresh,Flow2(Manual),9,BRE2 completed,3310,79.78
KSF,Fresh,Flow2(Manual),10,Disbursal acc verified,3189,96.34
KSF,Fresh,Flow2(Manual),11,Review submit,3048,95.58
KSF,Fresh,Flow2(Manual),12,Mandate done,2602,85.37
KSF,Fresh,Flow2(Manual),13,Application submitted by user,2590,99.54
KSF,Fresh,Flow2(Manual),14,Submit to LMS,2154,83.17
KSF,Fresh,Flow2(Manual),15,Disbursed,2080,96.56
MFL,Fresh,Flow1(Auto),6,Child_Lead_Created,2091,
MFL,Fresh,Flow1(Auto),7,Selfie uploaded,1901,90.91
MFL,Fresh,Flow1(Auto),8,KYC completed,1471,77.38
MFL,Fresh,Flow1(Auto),9,BRE2 completed,1004,68.25
MFL,Fresh,Flow1(Auto),10,Disbursal acc verified,997,99.3
MFL,Fresh,Flow1(Auto),11,Review submit,969,97.19
MFL,Fresh,Flow1(Auto),12,Mandate done,881,90.92
MFL,Fresh,Flow1(Auto),13,Application submitted by user,835,94.78
MFL,Fresh,Flow1(Auto),14,Submit to LMS,708,84.79
MFL,Fresh,Flow1(Auto),15,Disbursed,425,60.03
MFL,Fresh,Flow2(Manual),6,Child_Lead_Created,925,
MFL,Fresh,Flow2(Manual),7,Selfie uploaded,845,91.35
MFL,Fresh,Flow2(Manual),8,KYC completed,608,71.95
MFL,Fresh,Flow2(Manual),9,BRE2 completed,456,75
MFL,Fresh,Flow2(Manual),10,Disbursal acc verified,450,98.68
MFL,Fresh,Flow2(Manual),11,Review submit,434,96.44
MFL,Fresh,Flow2(Manual),12,Mandate done,374,86.18
MFL,Fresh,Flow2(Manual),13,Application submitted by user,358,95.72
MFL,Fresh,Flow2(Manual),14,Submit to LMS,325,90.78
MFL,Fresh,Flow2(Manual),15,Disbursed,222,68.31
NACL,Fresh,Flow1(Auto),6,Child_Lead_Created,2898,
NACL,Fresh,Flow1(Auto),7,Selfie uploaded,2437,84.09
NACL,Fresh,Flow1(Auto),8,KYC completed,1855,76.12
NACL,Fresh,Flow1(Auto),9,BRE2 completed,1314,70.84
NACL,Fresh,Flow1(Auto),10,Disbursal acc verified,1280,97.41
NACL,Fresh,Flow1(Auto),11,Review submit,1167,91.17
NACL,Fresh,Flow1(Auto),12,Mandate done,1071,91.77
NACL,Fresh,Flow1(Auto),13,Application submitted by user,1062,99.16
NACL,Fresh,Flow1(Auto),14,Submit to LMS,771,72.6
NACL,Fresh,Flow1(Auto),15,Disbursed,733,95.07
