lender,month_start,product_type,isautoleadcreated,major_index,original_major_stage,sub_stage,Leads,Stuck%
MFL,1.MTD,Fresh,,12,Mandate done,LOAN_AGREEMENT_PENDING,1,
,1.MTD,Fresh,,2,Workable leads,RE_INITIATE_BUREAU,14,
KSF,1.MTD,Fresh,,12,Mandate done,VKYC_REQUIRED,1244,
PYFL,1.MTD,Fresh,,13,Application submitted by user,LENDER_GMV_UPLOAD_INIT,40,
KSF,1.MTD,Fresh,,6,Child Lead Created,BANK_NAME_MATCH,5,
FULLERTON,1.MTD,Fresh,,11,Review submit,LUP_CREATION_SUCCESS,1,
NACL,1.MTD,Fresh,,13,Application submitted by user,LENDER_MVR_SHARING_INIT_FAILURE,84,
NACL,1.MTD,Fresh,,13,Application submitted by user,QC_ACTION_PENDING,4,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,BUSINESS_PROOF_DOCUMENT_UPLOAD_SKIPPED,1,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,LENDER_DOCUMENT_UPLOAD_SUCCESS,90,
TCL,1.MTD,Fresh,,6,Child Lead Created,BANK_NAME_MATCH_FAILED,2,
PIRAMAL AA,1.MTD,Fresh,,6,Child Lead Created,AWAIT_SELFIE,7711,
PYFL,1.MTD,Fresh,,7,Selfie uploaded,KYC_REJECTED,67,
NACL,1.MTD,Fresh,,7,Selfie uploaded,KYC_INITIATED,1,
PIRAMAL,1.MTD,Fresh,,9,BRE2 completed,BANK_VERIFICATION_FAILURE,8,
,1.MTD,Fresh,,3,Bureau pull success,BRE1_FAILED,166373,
PIRAMAL,1.MTD,Fresh,,8,KYC completed,KYC_COMPLETED,2,
FULLERTON_BUREAU,1.MTD,Fresh,,8,KYC completed,BRE2_REQUESTED,3,
TCL,1.MTD,Fresh,,7,Selfie uploaded,KYC_INITIATED_DIGILOCKER,1,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,LENDER_DOCUMENT_UPLOAD_FAILURE,7,
FULLERTON_BUREAU,1.MTD,Fresh,,7,Selfie uploaded,KYC_SELFIE_UPLOADED,34,
TCL,1.MTD,Fresh,,7,Selfie uploaded,KYC_INITIATED_SEARCH_BY_PAN,41,
SHRIRAM,1.MTD,Fresh,,13,Application submitted by user,PREDISBURSAL_FAILED,1,
KSF,1.MTD,Fresh,,14,Submit to LMS,LMS_PDC_CHECK_INITIATE,237,
FULLERTON,1.MTD,Fresh,,8,KYC completed,SERVICEABILITY_REJECTED,44,
SHRIRAM,1.MTD,Fresh,,12,Mandate done,GST_VERIFICATION_REQUEST_FAILURE_V2,1,
PIRAMAL,1.MTD,Fresh,,13,Application submitted by user,DIY_FI_REQUIRED,10,
PIRAMAL,1.MTD,Fresh,,9,BRE2 completed,BANK_VALIDATION_PENDING,33,
PIRAMAL AA,1.MTD,Fresh,,6,Child Lead Created,KYC_INITIATED_DIGILOCKER,254,
FULLERTON,1.MTD,Fresh,,14,Submit to LMS,LMS_CALLBACK_REJECTED,143,
FULLERTON,1.MTD,Fresh,,9,BRE2 completed,BANK_VALIDATION_FAILURE2,17,
PYFL,1.MTD,Fresh,,6,Child Lead Created,AWAIT_SELFIE,3542,
FULLERTON_BUREAU,1.MTD,Fresh,,13,Application submitted by user,QC_ACTION_PENDING,1,
NACL,1.MTD,Fresh,,13,Application submitted by user,LENDER_OFFER_EXPIRED,12,
KSF,1.MTD,Fresh,,12,Mandate done,AGENT_APPROVED,3,
SHRIRAM,1.MTD,Fresh,,9,BRE2 completed,BANK_VALIDATION_FAILURE2,57,
SHRIRAM,1.MTD,Fresh,,7,Selfie uploaded,LENDER_CREATE_APPLICATION_REJECTED,135,
SHRIRAM,1.MTD,Fresh,,8,KYC completed,KYC_COMPLETED,1,
FULLERTON,1.MTD,Fresh,,9,BRE2 completed,MAQUETTE_FRAUD_CHECK_FAILURE,205,
SHRIRAM,1.MTD,Fresh,,13,Application submitted by user,BANK_QC_DOC_RE_UPLOAD_REQUIRED,2,
PIRAMAL,1.MTD,Fresh,,7,Selfie uploaded,KYC_SELFIE_REUPLOAD_REQUIRED,9,
PYFL,1.MTD,Fresh,,7,Selfie uploaded,INITIATE_MULTIMODE_KYC,1875,
PYFL,1.MTD,Fresh,,7,Selfie uploaded,KYC_INITIATED_SEARCH_BY_PAN,97,
KSF,1.MTD,Fresh,,6,Child Lead Created,PENNY_DROP_FAILED,16,
MFL,1.MTD,Fresh,,13,Application submitted by user,LOAN_APPLICATION_ON_HOLD,1,
FULLERTON_BUREAU,1.MTD,Fresh,,7,Selfie uploaded,KYC_SELFIE_REUPLOAD_REQUIRED,12,
PIRAMAL AA,1.MTD,Fresh,,9,BRE2 completed,EMANDATE_REQUIRED,87,
FULLERTON_BUREAU,1.MTD,Fresh,,8,KYC completed,BRE2_FAILURE,275,
PYFL,1.MTD,Fresh,,13,Application submitted by user,FI_AWAITED,43,
PYFL,1.MTD,Fresh,,14,Submit to LMS,LMS_PDC_CHECK_INITIATE,187,
FULLERTON_BUREAU,1.MTD,Fresh,,13,Application submitted by user,LENDER_DOCUMENT_UPLOAD_SUCCESS,9,
FULLERTON,1.MTD,Fresh,,9,BRE2 completed,FETCH_SETTLEMENT_BANK_ACCOUNT,1,
KSF,1.MTD,Fresh,,14,Submit to LMS,LOAN_DISBURSEMENT_FAILURE,2,
KSF,1.MTD,Fresh,,8,KYC completed,KYC_PINCODE_NOT_SERVICEABLE,289,
SHRIRAM,1.MTD,Fresh,,12,Mandate done,BUSINESS_PROOF_UDYAM_VERIFICATION_PENDING,1,
NACL,1.MTD,Fresh,,9,BRE2 completed,BANK_VERIFICATION_FAILURE,5,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,BUSINESS_APPROVAL_NOT_REQUIRED,1,
,1.MTD,Fresh,,5,Marketplace Offer Selected,MARKETPLACE_OFFER_SELECTED,67,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,PREDISBURSAL_FAILED,1,
PYFL,1.MTD,Fresh,,7,Selfie uploaded,AWAIT_LENDER_APP_CREATE,4,
,1.MTD,Fresh,,5,Marketplace Offer Selected,CHILD_LEAD_CREATION_LIMIT_REACHED,2837,
PIRAMAL AA,1.MTD,Fresh,,7,Selfie uploaded,LENDER_LEAD_UPDATE_UPDATE_ADDITIONAL_DETAILS,6,
NACL,1.MTD,Fresh,,7,Selfie uploaded,LENDER_CREATE_APPLICATION_FAILURE,9,
TCL,1.MTD,Fresh,,13,Application submitted by user,FI_AWAITED,5,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,BANK_QC_DOC_RE_UPLOAD_REQUIRED,15,
SHRIRAM,1.MTD,Fresh,,12,Mandate done,SETTLEMENT_BANK_VALIDATION_REQUIRED_V2,1,
KSF,1.MTD,Fresh,,13,Application submitted by user,FI_ON_HOLD,1,
PIRAMAL,1.MTD,Fresh,,10,Disbursal acc verified,KYB_FETCH_MPA_SUCCESS,110,
PYFL,1.MTD,Fresh,,8,KYC completed,LENDER_BRE_RETRY,26,
TCL,1.MTD,Fresh,,10,Disbursal acc verified,AWAIT_OFFER_ACCEPT,45,
SHRIRAM,1.MTD,Fresh,,6,Child_Lead_Created,KYC_SELFIE_REQUIRED,1076,
PYFL,1.MTD,Fresh,,14,Submit to LMS,LMS_FETCH_DOCUMENTS_INIT,26,
TCL,1.MTD,Fresh,,15,Disbursed,LOAN_DISBURSEMENT_COMPLETED,138,
TCL,1.MTD,Fresh,,12,Mandate done,LENDER_LEAD_UPDATE_UPDATE_VKYC_DETAILS,1,
SHRIRAM,1.MTD,Fresh,,12,Mandate done,SETTLEMENT_BANK_QC_DOC_REQUIRED,1,
MFL,1.MTD,Fresh,,12,Mandate done,LENDER_ACCEPT_OFFER_INITIATED,1,
PIRAMAL AA,1.MTD,Fresh,,9,BRE2 completed,AA_ACCOUNT_MATCH_FAILED,1,
NACL,1.MTD,Fresh,,13,Application submitted by user,BUSINESS_APPROVAL_AWAITED,25,
FULLERTON,1.MTD,Fresh,,12,Mandate done,BUSINESS_PROOF_VERIFICATION_REQUIRED,3,
FULLERTON,1.MTD,Fresh,,9,BRE2 completed,BANK_VERIFICATION_FAILURE,60,
KSF,1.MTD,Fresh,,14,Submit to LMS,LMS_FETCH_DOCUMENTS_INIT,1,
MFL,1.MTD,Fresh,,11,Review submit,EMANDATE_REQUIRED,1,
KSF,1.MTD,Fresh,,9,BRE2 completed,LENDER_KYC_VALIDATE_INIT,1,
PIRAMAL,1.MTD,Fresh,,6,Child_Lead_Created,LIS_CREATE_APPLICATION_SUCCESS,556,
,1.MTD,Fresh,,5,Marketplace Offer Selected,LO_LEAD_CREATION_SUCCESS,60453,
PYFL,1.MTD,Fresh,,7,Selfie uploaded,SELFIE_RE_UPLOAD,70,
SHRIRAM,1.MTD,Fresh,,9,BRE2 completed,BANK_VERIFICATION_FAILURE,17,
PYFL,1.MTD,Fresh,,11,Review submit,EMANDATE_REQUIRED,713,
SHRIRAM,1.MTD,Fresh,,12,Mandate done,PAN_QC_DOC_UPLOAD_REQUIRED,2,
KSF,1.MTD,Fresh,,7,Selfie uploaded,INITIATE_MULTIMODE_KYC,2547,
SHRIRAM,1.MTD,Fresh,,13,Application submitted by user,DIY_FI_DOC_UPLOADED,20,
KSF,1.MTD,Fresh,,14,Submit to LMS,LMS_FETCH_RPS_INITIATED,1,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,RE_SUBMIT_SETTLEMENT_BANK,18,
PIRAMAL,1.MTD,Fresh,,13,Application submitted by user,DIY_FI_DOC_UPLOADED,12,
PIRAMAL,1.MTD,Fresh,,7,Selfie uploaded,KYC_INITIATED,5,
SHRIRAM,1.MTD,Fresh,,13,Application submitted by user,BUSINESS_PROOF_DOCUMENT_UPLOAD_SKIPPED,1,
PIRAMAL AA,1.MTD,Fresh,,12,Mandate done,LOAN_DISBURSEMENT_INITIATED,6,
SHRIRAM,1.MTD,Fresh,,13,Application submitted by user,DIY_FI_REQUIRED,24,
FULLERTON,1.MTD,Fresh,,12,Mandate done,BANK_QC_DOC_UPLOAD_REQUIRED,19,
PIRAMAL,1.MTD,Fresh,,7,Selfie uploaded,KYC_FAILED,28,
NACL,1.MTD,Fresh,,3,Bureau pull success,OFFER_RANKING_INITIATED,2,
FULLERTON,1.MTD,Fresh,,12,Mandate done,BUSINESS_PROOF_UDYAM_VERIFICATION_FAILURE,1,
FULLERTON_BUREAU,1.MTD,Fresh,,13,Application submitted by user,LIS_DATA_UPDATE_FAILED,29,
MFL,1.MTD,Fresh,,14,Submit to LMS,LMS_CALLBACK_REJECTED,2,
SHRIRAM,1.MTD,Fresh,,13,Application submitted by user,LOAN_APPLICATION_ON_HOLD,8,
TCL,1.MTD,Fresh,,13,Application submitted by user,LENDER_LEAD_UPDATE_UPDATE_BP_DETAILS,55,
TCL,1.MTD,Fresh,,8,KYC completed,LENDER_BRE_REJECTED,201,
PYFL,1.MTD,Fresh,,13,Application submitted by user,INITIATE_SETTLEMENT_ACCOUNT_NAME_MATCH_QC_DOC_REUPLOAD,7,
FULLERTON_BUREAU,1.MTD,Fresh,,12,Mandate done,BANK_QC_DOC_UPLOAD_REQUIRED,1,
NACL,1.MTD,Fresh,,13,Application submitted by user,LOAN_QC_REJECTED,50,
FULLERTON,1.MTD,Fresh,,6,Child_Lead_Created,KYC_IN_PROGRESS,6017,
NACL,1.MTD,Fresh,,13,Application submitted by user,LENDER_GMV_SHARING_INITIATED,49,
