product_type,isautoleadcreated,lender,#Child_Leads_Created,#Disbursed,Disbursal %,Amt_Cr,#Disbursed_LMSD,Amt_Cr_LMSD
AD,,SMFG,0,87,0,1.2122,238,3.1874
TOP-UP,,MFL,0,1313,0,30.1734,777,15.0339
BANKING,,PIRAMAL,0,1693,0,12.4281,1305,9.8935
RENEWAL,,TCL,0,76,0,2.4362,212,5.8501
RENEWAL,,PIRAMAL,0,369,0,8.1909,332,7.4882
FRESH,,PIRAMAL,0,2033,0,28.5987,1964,25.2806
TOP-UP,,PIRAMAL,0,867,0,24.6262,1086,26.7282
TOP-UP,,SMFG,0,12386,0,480.9549,12243,415.503
FRESH,,TCL,0,93,0,2.2149,158,3.2798
TOP-UP,,NACL,0,379,0,8.3074,776,19.4561
TOP-UP,,KSF,0,979,0,12.3769,365,4.6574
RENEWAL,,MFL,0,235,0,3.2976,239,3.6512
RENEWAL,,SMFG,0,2408,0,57.0071,2084,48.8689
FRESH,,MFL,0,614,0,6.0646,513,5.352
FRESH,,SMFG,0,8216,0,130.8694,7960,117.2812
MICROML,,UCL,0,5789,0,11.9599,3236,8.0419
FRESH,,KSF,0,5869,0,43.1715,5832,47.1086
FRESH,,PAYU,0,2370,0,29.8958,1821,25.4467
FRESH,,NACL,0,871,0,14.3002,880,14.7215
RENEWAL,,KSF,0,2154,0,36.849,2199,35.4881
BUREAU,,SMFG,0,3730,0,33.2635,3689,31.6574
FRESH,,SRIRAM,0,3056,0,37.4608,2425,27.6381
RENEWAL,,SRIRAM,0,684,0,14.9102,517,11.0369
BT,,PIRAMAL,0,429,0,12.5883,321,8.6375
RENEWAL,,PAYU,0,1317,0,32.6861,1322,31.3899
RENEWAL,,NACL,0,674,0,17.0044,468,11.7458
