lender,product_type,major_index,major_stage,leads,period
SHRIRAM,Fresh,14,Submit to LMS,1838,2.LMTD
PIRAMAL,Fresh,12,Mandate done,1719,2.LMTD
PIRAMAL,Fresh,9,BRE2 completed,1937,2.LMTD
KSF,Fresh,8,KYC completed,6350,2.LMTD
FULLERTON,Fresh,10,Disbursal acc verified,9153,2.LMTD
TCL,Fresh,10,Disbursal acc verified,210,2.LMTD
TCL,Fresh,6,Child Lead Created,927,2.LMTD
NACL,Fresh,15,Disbursed,610,2.LMTD
SHRIRAM,Fresh,13,Application submitted by user,2095,2.LMTD
KSF,Fresh,11,Review submit,4554,2.LMTD
KSF,Fresh,13,Application submitted by user,4057,2.LMTD
FULLERTON,Fresh,11,Review submit,8469,2.LMTD
TCL,Fresh,11,Review submit,177,2.LMTD
KSF,Fresh,6,Child Lead Created,9947,2.LMTD
PIRAMAL AA,Fresh,7,Selfie uploaded,12042,2.LMTD
MFL,Fresh,14,Submit to LMS,167,2.LMTD
TCL,Fresh,8,KYC completed,426,2.LMTD
MFL,Fresh,6,Child_Lead_Created,419,2.LMTD
NACL,Fresh,12,Mandate done,818,2.LMTD
FULLERTON_BUREAU,Fresh,10,Disbursal acc verified,605,2.LMTD
FULLERTON,Fresh,15,Disbursed,6562,2.LMTD
FULLERTON_BUREAU,Fresh,8,KYC completed,1459,2.LMTD
FULLERTON_BUREAU,Fresh,9,BRE2 completed,606,2.LMTD
PIRAMAL,Fresh,10,Disbursal acc verified,1937,2.LMTD
MFL,Fresh,12,Mandate done,192,2.LMTD
PIRAMAL AA,Fresh,8,KYC completed,3308,2.LMTD
PIRAMAL,Fresh,6,Child_Lead_Created,5561,2.LMTD
PIRAMAL,Fresh,13,Application submitted by user,1719,2.LMTD
NACL,Fresh,7,Selfie uploaded,1814,2.LMTD
PIRAMAL AA,Fresh,6,Child_Lead_Created,16040,2.LMTD
NACL,Fresh,11,Review submit,886,2.LMTD
MFL,Fresh,7,Selfie uploaded,395,2.LMTD
PYFL,Fresh,10,Disbursal acc verified,1765,2.LMTD
SHRIRAM,Fresh,12,Mandate done,2096,2.LMTD
FULLERTON_BUREAU,Fresh,7,Selfie uploaded,1585,2.LMTD
SHRIRAM,Fresh,6,Child_Lead_Created,4764,2.LMTD
