major_index,major_stage,Leads,period
6,Child Lead Created,64443,1.MTD
15,Disbursed,19681,1.MTD
8,KYC completed,45960,1.MTD
11,Review submit,27268,1.MTD
13,Application submitted by user,24688,1.MTD
7,Selfie uploaded,76878,1.MTD
5,Marketplace Offer Selected,99373,1.MTD
2,Workable leads,412476,1.MTD
10,Disbursal acc verified,29863,1.MTD
4,BRE1 completed,241607,1.MTD
6,Child_Lead_Created,98609,1.MTD
12,Mandate done,24820,1.MTD
9,BRE2 completed,30341,1.MTD
3,Bureau pull success,407284,1.MTD
14,Submit to LMS,21120,1.MTD
8,KYC completed,57156,2.LMTD
10,Disbursal acc verified,43350,2.LMTD
5,Marketplace Offer Selected,105729,2.LMTD
13,Application submitted by user,36356,2.LMTD
7,Selfie uploaded,84517,2.LMTD
9,BRE2 completed,44005,2.LMTD
12,Mandate done,36484,2.LMTD
11,Review submit,39921,2.LMTD
14,Submit to LMS,31720,2.LMTD
6,Child Lead Created,58126,2.LMTD
15,Disbursed,30946,2.LMTD
2,Workable leads,434108,2.LMTD
4,BRE1 completed,264241,2.LMTD
6,Child_Lead_Created,105109,2.LMTD
3,Bureau pull success,427413,2.LMTD
