major_index,major_stage,sub_stage,FULLERTON Fresh Flow1(Auto) Leads,FULLERTON Fresh Flow2(Manual) Leads,KSF Fresh Flow1(Auto) Leads,KSF Fresh Flow2(Manual) Leads,MFL Fresh Flow1(Auto) Leads,MFL Fresh Flow2(Manual) Leads,NACL Fresh Flow1(Auto) Leads,NACL Fresh Flow2(Manual) Leads,PIRAMAL Fresh Flow1(Auto) Leads,PIRAMAL Fresh Flow2(Manual) Leads,PYFL Fresh Flow1(Auto) Leads,PYFL Fresh Flow2(Manual) Leads,SHRIRAM Fresh Flow1(Auto) Leads,SHRIRAM Fresh Flow2(Manual) Leads
1,Total leads,CHECK_LRE_RANKING,,,10.0,5.0,,,,,,,1.0,,,
1,Total leads,LEAD_CLOSURE_INITIATED,,,,,,,,1.0,,,,,,
1,Total leads,LEAD_FAILURE,6041.0,3103.0,,,433.0,181.0,836.0,382.0,3949.0,1826.0,,,2213.0,984.0
1,Total leads,LEAD_RESET,,,2869.0,1484.0,,,,,,,1525.0,760.0,,
1,Total leads,LEAD_RESET_IN_PROCESS,,,,,,,,1.0,,,,,1.0,
1,Total leads,LOM_OFFER_RANKING_REQUEST_FAILURE,,,,,1.0,,,,,,,,,
1,Total leads,LRE_PARENT,,,189.0,100.0,,,,,,,92.0,58.0,,
1,Total leads,Subtotal,6041.0,3103.0,3068.0,1589.0,434.0,181.0,836.0,384.0,3949.0,1826.0,1618.0,818.0,2214.0,984.0
1,Subtotal,,6041.0,3103.0,3068.0,1589.0,434.0,181.0,836.0,384.0,3949.0,1826.0,1618.0,818.0,2214.0,984.0
2,Workable leads,PAN_DEDUPE_FAILED,3.0,,,,1.0,,1.0,,1.0,,,,1.0,
2,Workable leads,Subtotal,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,Subtotal,,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,BRE1 completed,KYC_SELFIE_REQUIRED,,,,,,,,,,1.0,,,,
4,BRE1 completed,LENDER_CREATE_APPLICATION_REJECTED,,,,,,,,,,,,,91.0,22.0
4,BRE1 completed,LIS_CREATE_APPLICATION_REQUEST_FAILURE,,,,,,,,,12.0,1.0,,,,
4,BRE1 completed,Subtotal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,91.0,22.0
4,Subtotal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,91.0,22.0
6,Child_Lead_Created,AWAIT_SELFIE,,,1476.0,699.0,,,,,,,867.0,378.0,,
6,Child_Lead_Created,BANK_NAME_MATCH,,,18.0,3.0,,,,,,,,,,
6,Child_Lead_Created,BANK_NAME_MATCH_FAILED,,,52.0,29.0,,,,,,,,,,
6,Child_Lead_Created,EMAIL_VERIFICATION_REQUIRED_V2,5.0,,,,,,,,,,,,,
6,Child_Lead_Created,FETCH_SETTLEMENT_ACCOUNT,,,1.0,5.0,,,,,,,,,,
6,Child_Lead_Created,KYC_IN_PROGRESS,3778.0,1796.0,,,,,,,,,,,,
6,Child_Lead_Created,KYC_SELFIE_REQUIRED,,,,,187.0,78.0,454.0,168.0,869.0,366.0,,,625.0,240.0
6,Child_Lead_Created,LENDER_CREATE_APPLICATION_FAILURE,,,,,,,5.0,4.0,,,,,,
6,Child_Lead_Created,LENDER_CREATE_APPLICATION_SUCCESS,,,,,,,,,,,,,411.0,241.0
6,Child_Lead_Created,LIS_CREATE_APPLICATION_SUCCESS,,,,,,,,,456.0,232.0,,,,
6,Child_Lead_Created,ML_CHILD_LEAD_CREATED,,,4.0,3.0,,,,,4.0,,,,,
6,Child_Lead_Created,PENNY_DROP_FAILED,,,2.0,1.0,,,,,,,,,,
