major_index,major_stage,FULLERTON Fresh Flow1(Auto) Leads,FULLERTON Fresh Flow1(Auto) Conv. %,FULLERTON Fresh Flow2(Manual) Leads,FULLERTON Fresh Flow2(Manual) Conv. %,KSF Fresh Flow1(Auto) Leads,KSF Fresh Flow1(Auto) Conv. %,KSF Fresh Flow2(Manual) Leads,KSF Fresh Flow2(Manual) Conv. %,MFL Fresh Flow1(Auto) Leads,MFL Fresh Flow1(Auto) Conv. %,MFL Fresh Flow2(Manual) Leads,MFL Fresh Flow2(Manual) Conv. %,NACL Fresh Flow1(Auto) Leads,NACL Fresh Flow1(Auto) Conv. %,NACL Fresh Flow2(Manual) Leads,NACL Fresh Flow2(Manual) Conv. %,PIRAMAL Fresh Flow1(Auto) Leads,PIRAMAL Fresh Flow1(Auto) Conv. %,PIRAMAL Fresh Flow2(Manual) Leads,PIRAMAL Fresh Flow2(Manual) Conv. %,PYFL Fresh Flow1(Auto) Leads,PYFL Fresh Flow1(Auto) Conv. %,PYFL Fresh Flow2(Manual) Leads,PYFL Fresh Flow2(Manual) Conv. %,SHRIRAM Fresh Flow1(Auto) Leads,SHRIRAM Fresh Flow1(Auto) Conv. %,SHRIRAM Fresh Flow2(Manual) Leads,SHRIRAM Fresh Flow2(Manual) Conv. %
6,Child_Lead_Created,21917,,14377,,10729,,6609,,2091,,925,,2898,,1497,,21044,,7478,,4697,,3058,,6822,,3041,
7,Selfie uploaded,18024,82.24,12539,87.22,9594,89.42,5985,90.56,1901,90.91,845,91.35,2437,84.09,1326,88.58,6550,31.13,3540,47.34,3640,77.5,2587,84.6,6189,90.72,2799,92.04
8,KYC completed,14975,83.08,10540,84.06,6281,65.47,4149,69.32,1471,77.38,608,71.95,1855,76.12,1006,75.87,3994,60.98,2207,62.34,3469,95.3,2495,96.44,4294,69.38,1903,67.99
9,BRE2 completed,11108,74.18,8858,84.04,4487,71.44,3310,79.78,1004,68.25,456,75.0,1314,70.84,801,79.62,2118,53.03,1465,66.38,1863,53.7,1634,65.49,3444,80.2,1614,84.81
10,Disbursal acc verified,10984,98.88,8705,98.27,4345,96.84,3189,96.34,997,99.3,450,98.68,1280,97.41,786,98.13,2098,99.06,1446,98.7,1838,98.66,1613,98.71,3409,98.98,1579,97.83
11,Review submit,10119,92.12,8140,93.51,4083,93.97,3048,95.58,969,97.19,434,96.44,1167,91.17,729,92.75,1960,93.42,1361,94.12,1695,92.22,1533,95.04,3071,90.09,1426,90.31
12,Mandate done,9235,91.26,7229,88.81,3661,89.66,2602,85.37,881,90.92,374,86.18,1071,91.77,646,88.61,1807,92.19,1229,90.3,1495,88.2,1308,85.32,2900,94.43,1303,91.37
13,Application submitted by user,9215,99.78,7216,99.82,3635,99.29,2590,99.54,835,94.78,358,95.72,1062,99.16,642,99.38,1805,99.89,1228,99.92,1695,113.38,1533,117.2,2897,99.9,1299,99.69
14,Submit to LMS,7004,76.01,6268,86.86,2853,78.49,2154,83.17,708,84.79,325,90.78,771,72.6,515,80.22,1496,82.88,1104,89.9,1150,67.85,1077,70.25,2383,82.26,1140,87.76
15,Disbursed,6718,95.92,6058,96.65,2728,95.62,2080,96.56,425,60.03,222,68.31,733,95.07,490,95.15,1432,95.72,1071,97.01,1102,95.83,1037,96.29,2038,85.52,993,87.11
